Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Kroesen M., De Vos J.",24344046200;54787558100;,"Does active travel make people healthier, or are healthy people more inclined to travel actively?",2020,Journal of Transport and Health,16,,100844,,,,10,10.1016/j.jth.2020.100844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082190641&doi=10.1016%2fj.jth.2020.100844&partnerID=40&md5=384728b9b37e2ff7f1dd659281c4e611,"Delft University of Technology, Faculty of Technology, Policy and Management, P.O. Box 5015, GA Delft, 2600, Netherlands; University College London Bartlett School of Planning, 14 Upper Woburn Place, London, WC1H 0NN, United Kingdom","Kroesen, M., Delft University of Technology, Faculty of Technology, Policy and Management, P.O. Box 5015, GA Delft, 2600, Netherlands; De Vos, J., University College London Bartlett School of Planning, 14 Upper Woburn Place, London, WC1H 0NN, United Kingdom","Introduction: Active travel (walking and cycling) is increasingly being recognised as a potentially effective means of increasing physical activity levels and thereby contribute to physical and mental health. To date, however, much of the empirical evidence related to the health benefits of active travel is based on cross-sectional data. As such, the direction of causation remains uncertain, i.e. does active travel lead to improved health or vice-versa, are healthier individuals more inclined to participate in active travel? This study aims to systematically assess the bidirectional relationships between active travel, on the one hand, and two relevant health outcomes on the other, namely body-mass index (BMI) and mental health. Method: To this end, random-intercept cross-lagged panel models are estimated using data from 10 waves (years) of the Longitudinal Internet Studies for the Social sciences panel, a panel that is representative for the Dutch population. Active travel was assessed using a measure of walking frequency and mental health was measured using the 5-item mental health inventory (MHI-5). Results: The results indicate that active travel does not affect later BMI levels, but, vice versa, BMI does negatively influence later levels of active travel, a pattern that is in line with earlier research related to general physical activity and BMI. Regarding mental health, the pattern is exactly opposite. In this case, the effect of active travel on mental health is significant, while the reverse effect is not (at the 5% level of statistical significance). Conclusion: Overall, the results underline the notion that cross-sectional estimates of the effects between active travel and health outcomes should be interpreted with care, as they can be the result of effects in either direction. In addition, the results suggest that the uptake of active travel may be increased by decreasing BMI levels in the population, e.g. via dietary programs. © 2020 The Author(s)",Active travel; Body-mass index; Mental health; Panel data; Random-intercept cross-lagged panel model,,Article,Final,,Scopus,2-s2.0-85082190641
"Ghotge R., Snow Y., Farahani S., Lukszo Z., van Wijk A.",57212082441;57196000262;55334398300;57200973305;7005805666;,Optimized scheduling of EV charging in solar parking lots for local peak reduction under EV demand uncertainty,2020,Energies,13,5,1275,,,,15,10.3390/en13051275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081746342&doi=10.3390%2fen13051275&partnerID=40&md5=1334a2d4d5959f95f982f9e1cb229f6c,"Department of Process and Energy, Faculty of Mechanical, Maritime and Materials Engineering, Delft University of Technology, Mekelweg 5, Delft, 2628 CD, Netherlands; Department of Engineering Systems and Services, Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands","Ghotge, R., Department of Process and Energy, Faculty of Mechanical, Maritime and Materials Engineering, Delft University of Technology, Mekelweg 5, Delft, 2628 CD, Netherlands; Snow, Y., Department of Process and Energy, Faculty of Mechanical, Maritime and Materials Engineering, Delft University of Technology, Mekelweg 5, Delft, 2628 CD, Netherlands; Farahani, S., Department of Engineering Systems and Services, Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; Lukszo, Z., Department of Engineering Systems and Services, Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; van Wijk, A., Department of Process and Energy, Faculty of Mechanical, Maritime and Materials Engineering, Delft University of Technology, Mekelweg 5, Delft, 2628 CD, Netherlands","Scheduled charging offers the potential for electric vehicles (EVs) to use renewable energy more efficiently, lowering costs and improving the stability of the electricity grid. Many studies related to EV charge scheduling found in the literature assume perfect or highly accurate knowledge of energy demand for EVs expected to arrive after the scheduling is performed. However, in practice, there is always a degree of uncertainty related to future EV charging demands. In this work, a Model Predictive Control (MPC) based smart charging strategy is developed, which takes this uncertainty into account, both in terms of the timing of the EV arrival as well as the magnitude of energy demand. The objective of the strategy is to reduce the peak electricity demand at an EV parking lot with PVarrays. The developed strategy is compared with both conventional EV charging as well as smart charging with an assumption of perfect knowledge of uncertain future events. The comparison reveals that the inclusion of a 24 h forecast of EV demand has a considerable effect on the improvement of the performance of the system. Further, strategies that are able to robustly consider uncertainty across many possible forecasts can reduce the peak electricity demand by as much as 39% at an office parking space. The reduction of peak electricity demand can lead to increased flexibility for system design, planning for EV charging facilities, deferral or avoidance of the upgrade of grid capacity as well as its better utilization. © 2020 by the authors.",Demand forecasting; Electric vehicle; Peak shaving; Robust optimization; Smart charging,Charging (batteries); Electric power utilization; Electric vehicles; Energy management; Forecasting; Model predictive control; Optimization; Predictive control systems; Scheduling; Uncertainty analysis; Degree of uncertainty; Demand forecasting; Electric Vehicles (EVs); Increased flexibility; Peak electricity demand; Peak shaving; Robust optimization; Smart charging; Electric power transmission networks,Article,Final,,Scopus,2-s2.0-85081746342
"Mueller M.A., Wiegmans B., van Duin J.H.R.",57215063905;6506282734;57213751796;,The geography of container port choice: modelling the impact of hinterland changes on port choice,2020,Maritime Economics and Logistics,22,1,,26,52,,3,10.1057/s41278-019-00142-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079750085&doi=10.1057%2fs41278-019-00142-6&partnerID=40&md5=cf1ecf578e6d0e82eb6410e3fc688b57,"Department of Transport and Planning, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Stevinweg 1, Delft, 2628 CN, Netherlands; Department of Transport and Logistics, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands; Research Centre Sustainable Port Cities, Rotterdam University of Applied Sciences, Rotterdam, Netherlands","Mueller, M.A., Department of Transport and Planning, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Stevinweg 1, Delft, 2628 CN, Netherlands; Wiegmans, B., Department of Transport and Planning, Faculty of Civil Engineering and Geosciences, Delft University of Technology, Stevinweg 1, Delft, 2628 CN, Netherlands; van Duin, J.H.R., Department of Transport and Logistics, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands, Research Centre Sustainable Port Cities, Rotterdam University of Applied Sciences, Rotterdam, Netherlands","European container ports compete in partially overlapping hinterland areas. The objective of this study is to model port choice and obtain insight into port choice decisions for European container imports from Asia. The importance of port choice factors and their impact on port market shares in the hinterland were investigated. Furthermore, sensitivity of the model in predicting the impact of increasing fuel prices on port hinterlands was tested. Containerised imports of 231 European mainland regions were compiled, based on shipping data, port statistics, modal split and gross regional products. Using literature sources, 11 port choice factors were selected; five of these were found to be statistically significant. These factors and their respective weights were used as input for a logit port choice model to analyse container port imports for 31 ports; the most detailed model yet. A varying oil price scenario was used to show the application and sensitivity of the model. Changing oil prices were found to have an impact on modal split and on the average hinterland transport distance. © 2020, Springer Nature Limited.",Container imports; Hinterland; Maritime container transport; Modal split; Modelling; Port choice,,Article,Final,,Scopus,2-s2.0-85079750085
"Reniers G., Landucci G., Khakzad N.",8634628000;23111092200;22034603800;,What safety models and principles can be adapted and used in security science?,2020,Journal of Loss Prevention in the Process Industries,64,,104068,,,,3,10.1016/j.jlp.2020.104068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078963076&doi=10.1016%2fj.jlp.2020.104068&partnerID=40&md5=57f999c70e9fff9ecbf458de1335dddb,"Safety and Security Science Group, Faculty of Technology, Policy, and Management, Delft University of Technology, Delft, Netherlands; Faculty of Economics and Organizational Sciences, Campus Brussels, KULeuven, Brussels, Belgium; Department of Civil and Industrial Engineering, University of Pisa, Pisa, Italy; School of Occupational and Public Health, Ryerson University, Toronto, Canada","Reniers, G., Safety and Security Science Group, Faculty of Technology, Policy, and Management, Delft University of Technology, Delft, Netherlands, Faculty of Economics and Organizational Sciences, Campus Brussels, KULeuven, Brussels, Belgium; Landucci, G., Department of Civil and Industrial Engineering, University of Pisa, Pisa, Italy; Khakzad, N., School of Occupational and Public Health, Ryerson University, Toronto, Canada","Engineering risk management is comprised of managing operational safety risks on the one hand and managing physical security risks on the other. Although some basic management principles are obviously the same for both safety and security, some important conceptual and calculation differences exist, as is explained in this paper. For instance, safety risk is usually calculated based on the scenarios’ consequences and likelihoods, while security needs to be determined by the assessment of vulnerability, the likelihood of attack and potential consequences. Nonetheless, there are also many similarities. Conceptual models, metaphors and principles that have been elaborated in the safety domain during the past century, many of them based on major accidents and their investigation, can easily be translated to the security domain. In the present study, we will explain how physical security should be seen in relation to safety, and what models and principles, derived from safety science, can be employed to manage the security aspects associated with physical threats. © 2020 Elsevier Ltd",Learning from safety; Security management; Security models; Security principles,Risk assessment; Risk management; Risk perception; Conceptual model; Management principles; Operational safety; Physical security; Safety and securities; Security management; Security model; Security principles; Safety engineering,Article,Final,,Scopus,2-s2.0-85078963076
"Edelenbosch O.Y., van Vuuren D.P., Blok K., Calvin K., Fujimori S.",56024205600;7003501910;7005422201;26640190700;36971176800;,Mitigating energy demand sector emissions: The integrated modelling perspective,2020,Applied Energy,261,,114347,,,,11,10.1016/j.apenergy.2019.114347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078871656&doi=10.1016%2fj.apenergy.2019.114347&partnerID=40&md5=e54cf0dec3c0dcbfb06590fba6a720ed,"PBL Netherlands Environmental Assessment Agency, Bezuidenhoutseweg 30, AV Den Haag, 2594, Netherlands; Department of Management and Economics, Politecnico di Milan, Via Lambruschini 4/B, Milan, Italy; Copernicus Institute of Sustainable Development, Utrecht University, Heidelberglaan 2, CS Utrecht, 3584, Netherlands; Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, BX Delft, 2628, Netherlands; Pacific Northwest National Laboratory 5825 University Research Court, Suite 3500, College Park, MD  20740, United States; Department of Environmental Engineering, Kyoto University, 361, C1-3, Kyoto University Katsura Campus, Nishikyo-ku, Kyoto-city, 615-8540, Japan; Center for Social and Environmental Systems Research, National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, Ibaraki  305-8506, Japan","Edelenbosch, O.Y., PBL Netherlands Environmental Assessment Agency, Bezuidenhoutseweg 30, AV Den Haag, 2594, Netherlands, Department of Management and Economics, Politecnico di Milan, Via Lambruschini 4/B, Milan, Italy; van Vuuren, D.P., PBL Netherlands Environmental Assessment Agency, Bezuidenhoutseweg 30, AV Den Haag, 2594, Netherlands, Copernicus Institute of Sustainable Development, Utrecht University, Heidelberglaan 2, CS Utrecht, 3584, Netherlands; Blok, K., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, BX Delft, 2628, Netherlands; Calvin, K., Pacific Northwest National Laboratory 5825 University Research Court, Suite 3500, College Park, MD  20740, United States; Fujimori, S., Department of Environmental Engineering, Kyoto University, 361, C1-3, Kyoto University Katsura Campus, Nishikyo-ku, Kyoto-city, 615-8540, Japan, Center for Social and Environmental Systems Research, National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, Ibaraki  305-8506, Japan","Limiting climate change below a given temperature will require fundamental changes in the current energy system, both in the energy supply and the energy demand sectors. Previous global model-based analyses, however, have focused mostly on energy supply transformations. Therefore, in this study we respond to this knowledge gap by analysing the future energy demand projections in both baseline and climate policy scenarios of global models in detail. We examine the projections for the industry, transport and buildings sectors across four models and three different reference scenarios from the Shared-Socioeconomic Pathway framework by applying a decomposition analysis. We compare the projected demand side mitigation efforts to a more detailed, sector-specific, technology-oriented assessment of demand-side abatement potential for the year 2030. Without climate policy, model-based projections show that baseline emissions can grow rapidly in industry and transport sectors, but are also highly uncertain across models. The decomposition analysis shows that the key uncertainty across the global scenarios is the projected final energy per capita. For modellers therefore there lies a challenge to better understand drivers of future energy efficiency and service demand, that contribute to the projected energy demand. This model enhancement would moreover allow to evaluate policy measures that can impact this relation. The technology assessment estimates that in particular in the transport and buildings sector there is a higher potential to reduce demand-side emissions through energy efficiency improvements than implemented in the scenarios. Improved insulation, higher electric vehicle penetration rates and modal shift for example could reduce final energy demand to lower levels in the short term than currently projected, reducing the dependency on fuel switching required in current scenarios to meet the stringent climate targets. © 2019 Elsevier Ltd",Demand sectors; Energy efficiency; Global scenarios; Shared socioeconomic pathways,Climate change; Climate models; Electric insulation; Energy management; Energy resources; Uncertainty analysis; Abatement potentials; Climate policy scenarios; Decomposition analysis; Demand sectors; Energy efficiency improvements; Global scenarios; Shared socioeconomic pathways; Technology assessments; Energy efficiency; climate change; decomposition analysis; demand-side management; dependency; energy efficiency; environmental policy; numerical model,Article,Final,,Scopus,2-s2.0-85078871656
"Kroesen M., Chorus C.",24344046200;11940176900;,A new perspective on the role of attitudes in explaining travel behavior: A psychological network model,2020,Transportation Research Part A: Policy and Practice,133,,,82,94,,2,10.1016/j.tra.2020.01.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078442288&doi=10.1016%2fj.tra.2020.01.014&partnerID=40&md5=9845ca94098c2d52fba1b0cef04697a1,"Delft University of Technology, Faculty of Technology, Policy and Management, P.O. Box 5015, GA Delft, 2600, Netherlands","Kroesen, M., Delft University of Technology, Faculty of Technology, Policy and Management, P.O. Box 5015, GA Delft, 2600, Netherlands; Chorus, C., Delft University of Technology, Faculty of Technology, Policy and Management, P.O. Box 5015, GA Delft, 2600, Netherlands","Psychological factors are generally thought to play an important role in the prediction of individual variations in travel behavior and travel related choices. To assess their effects in statistical models, three assumptions are typically made, namely: (1) the psychological factors influence behavior/choices and not vice versa, (2) psychological factors can be conceptualized as latent variables measured by observed indicators and (3) estimated between-person relationships are indicative of within-person relationships. Recent research has shown that each of these assumptions is conceptually and empirically problematic. This paper introduces to the field of travel behavior research an alternative modeling approach which has its roots in the emerging field of Network Psychometrics. This so-called psychological network model avoids the above mentioned problematic assumptions, by modeling the relationships between attitudinal and behavioral indicators as dynamic causal systems which can be operationalized as a network. We illustrate the new insights that may be gained from this approach in a travel behavior context. In particular, we estimate between-person and within-person network models using data from a (two-wave) panel survey containing indicators regarding travel modality use and related attitudes. Our results indicate that the extent to which the use of a mode is considered convenient is most strongly connected to the actual use of the corresponding mode, and that the convenience of using the car takes a central position in the attitude-behavior network. At the within-person level, no strong connections between attitudes and behaviors seem to exist. This latter finding serves as a warning against the practice, embodied in many popular travel behavior models, of interpreting associations between attitudes and (travel) behaviors as causal within-person relations. © 2020 The Authors",Attitudes; Between-person and within-person; Causality; Latent variable; Psychological network model; Travel behavior,Attitudes; Between-person and within-person; Causality; Latent variable; Network modeling; Travel behaviors; Behavioral research; attitudinal survey; conceptual framework; empirical analysis; psychology; public attitude; travel behavior,Article,Final,,Scopus,2-s2.0-85078442288
"Schembera B., Durán J.M.",56829559000;56182301000;,Dark Data as the New Challenge for Big Data Science and the Introduction of the Scientific Data Officer,2020,Philosophy and Technology,33,1,,93,115,,11,10.1007/s13347-019-00346-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077128681&doi=10.1007%2fs13347-019-00346-x&partnerID=40&md5=61e764f4e76346fb5d3b75e234da311b,"High-Performance Computing Center Stuttgart, University of Stuttgart, Nobelstr. 19, Stuttgart, 70569, Germany; Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands","Schembera, B., High-Performance Computing Center Stuttgart, University of Stuttgart, Nobelstr. 19, Stuttgart, 70569, Germany; Durán, J.M., Faculty of Technology, Policy and Management, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands","Many studies in big data focus on the uses of data available to researchers, leaving without treatment data that is on the servers but of which researchers are unaware. We call this dark data, and in this article, we present and discuss it in the context of high-performance computing (HPC) facilities. To this end, we provide statistics of a major HPC facility in Europe, the High-Performance Computing Center Stuttgart (HLRS). We also propose a new position tailor-made for coping with dark data and general data management. We call it the scientific data officer (SDO) and we distinguish it from other standard positions in HPC facilities such as chief data officers, system administrators, and security officers. In order to understand the role of the SDO in HPC facilities, we discuss two kinds of responsibilities, namely, technical responsibilities and ethical responsibilities. While the former are intended to characterize the position, the latter raise concerns—and proposes solutions—to the control and authority that the SDO would acquire. © 2019, The Author(s).",Big data; Computer simulations; Dark data; Data curation; High-performance computing; Research data management; Scientific data officer,,Article,Final,,Scopus,2-s2.0-85077128681
"Howell R., Sinha K.M., Wagner N., Doorn N., van Beers C.",57196481592;56734148600;56090418600;6507143700;6603296264;,Consumption of Bottled Water at the Bottom of the Pyramid: Who Purchases First?,2020,Journal of Macromarketing,40,1,,31,50,,4,10.1177/0276146719866890,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071581773&doi=10.1177%2f0276146719866890&partnerID=40&md5=982878180f1bfdbab1efdffab4c4ba9f,"Faculty of Technology, Policy, and Management, Delft University of Technology, Delft, Netherlands; School of Social Sciences, Wageningen University, Wageningen, Netherlands; Institute of Social Studies, Erasmus University Rotterdam, The Hague, Netherlands","Howell, R., Faculty of Technology, Policy, and Management, Delft University of Technology, Delft, Netherlands; Sinha, K.M., School of Social Sciences, Wageningen University, Wageningen, Netherlands; Wagner, N., Institute of Social Studies, Erasmus University Rotterdam, The Hague, Netherlands; Doorn, N., Faculty of Technology, Policy, and Management, Delft University of Technology, Delft, Netherlands; van Beers, C., Faculty of Technology, Policy, and Management, Delft University of Technology, Delft, Netherlands","While consumer and marketing research in developed markets is an established field, research on consumers in an Bottom of the Pyramid (BoP) setting is less established and mostly conceptual or qualitative. This paper examines the individual heterogeneity and the local context of BoP consumers with an empirical study on consumption of low cost bottled water on the Kenyan coast and the capitals of Uganda and Rwanda. The empirical analysis builds on existing research exploring consumer behavior, and it studies a database of 713 bottled water consumers in Kenya, Uganda and Rwanda. Consumers with a higher level of education were less likely to be late consumers. Additionally, early consumers were more likely to purchase due to a purposeful search for a bottled drinking water solution. Since we control for location specific effects we highlight the importance of supply driven consumption in the BoP market. Furthermore, the results suggest that the two water companies may not be reaching their targeted low-income consumers but rather middle class consumers. The research contributes to the larger BoP debate by presenting evidence that consumers in a BoP setting may purchase more on the basis of supply of a product rather than other socio-demographic factors such as income. © The Author(s) 2019.",BoP consumers; bottled water; consumption; emerging markets; sub-Saharan Africa,,Article,Final,,Scopus,2-s2.0-85071581773
"Šćepanović S., Warnier M., Nurminen J.K.",56414836700;22735522400;6603849383;,"Erratum to “The role of context in residential energy interventions: A meta review” (Renewable and Sustainable Energy Reviews (2017) 77 (1146–1168), (S1364032116308310), (10.1016/j.rser.2016.11.044))",2020,Renewable and Sustainable Energy Reviews,119,,109079,,,,1,10.1016/j.rser.2019.04.033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071176064&doi=10.1016%2fj.rser.2019.04.033&partnerID=40&md5=89e14c92a9c26b878ed5a540eb659100,"Department of Computer Science, Aalto University, PO Box 15400, AALTOFI-00076, Finland; Section Systems Engineering, Faculty of Technology, Policy and Management, Delft University of Technology, P/O Box 5015, Delft, GA  NL-2600, Netherlands; VTT Technical Research Center of Finland, PO Box 1000, VTTFI-02044, Finland","Šćepanović, S., Department of Computer Science, Aalto University, PO Box 15400, AALTOFI-00076, Finland; Warnier, M., Section Systems Engineering, Faculty of Technology, Policy and Management, Delft University of Technology, P/O Box 5015, Delft, GA  NL-2600, Netherlands; Nurminen, J.K., Department of Computer Science, Aalto University, PO Box 15400, AALTOFI-00076, Finland, VTT Technical Research Center of Finland, PO Box 1000, VTTFI-02044, Finland","Residential energy interventions aim to structurally influence the way people behave in order to achieve a more sustainable behavior. However, the effectiveness of concrete residential energy interventions in specific circumstances varies widely: depending on the context interventions are more or less successful. This paper studies the effect of the context on the effectiveness of concrete residential energy interventions. We do this by means of a large meta analysis of literature. Our review consists of two main parts. First, we give an overview and categorization of all major types of residential energy interventions. Second, we use this categorization to study the effectiveness of different types of interventions in specific contexts: physical (environmental); socioeconomic; cultural; and political and governmental contexts. In addition, we propose to extend well known design methodologies for successful energy interventions by making the role the context plays in these explicit. Our ultimate goal is to provide both practitioners and researchers with a framework that helps with the design of successful energy interventions, hopefully leading to a more sustainable future. © 2019 Elsevier Ltd",Conservation; Consumer behavior; Efficiency; Energy intervention; Energy practice; Smart grid,,Erratum,Final,,Scopus,2-s2.0-85071176064
"Rukanova B., de Reuver M., Henningsson S., Nikayin F., Tan Y.-H.",24832506700;35776955900;36873958800;41662007000;57205590113;,Emergence of collective digital innovations through the process of control point driven network reconfiguration and reframing: the case of mobile payment,2020,Electronic Markets,30,1,,107,129,,4,10.1007/s12525-019-00352-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068315655&doi=10.1007%2fs12525-019-00352-z&partnerID=40&md5=1781353723c92f55b4822212bb2eca5a,"Faculty of Technology, Policy and Management, TU Delft, Building 31, Jaffalaan 5, Delft, BX  2628, Netherlands; Copenhagen Business School, Frederiksberg, Denmark","Rukanova, B., Faculty of Technology, Policy and Management, TU Delft, Building 31, Jaffalaan 5, Delft, BX  2628, Netherlands; de Reuver, M., Faculty of Technology, Policy and Management, TU Delft, Building 31, Jaffalaan 5, Delft, BX  2628, Netherlands; Henningsson, S., Copenhagen Business School, Frederiksberg, Denmark; Nikayin, F., Faculty of Technology, Policy and Management, TU Delft, Building 31, Jaffalaan 5, Delft, BX  2628, Netherlands; Tan, Y.-H., Faculty of Technology, Policy and Management, TU Delft, Building 31, Jaffalaan 5, Delft, BX  2628, Netherlands","Decentralized digital technologies require multiple organizations to collectively create digital innovations. Control over the resources required for digital innovations is often therefore dispersed among multiple actors. Actors may have conflicting interests and business models which cause collective digital innovations to come to a standstill. While existing research suggests various factors that block collective innovation processes, there is still little understanding of how organizations can overcome standstills, and progress to bringing digital innovations to market. The main question addressed in this paper is: How do collective digital innovation initiatives overcome standstills in order to progress in bringing the innovations to market? We offer a novel perspective on the process of developing collective digital innovations based on a longitudinal case study of mobile banking in the Netherlands. Our case shows how parties have collaborated to learn about new opportunities for distributing control and framing solutions, while the actual commercialization of the mobile payment solutions was performed by individual actors. The framework shows how digital innovations emerge through a series of collective innovation processes that build upon each other through control point driven network reconfiguration and reframing. © 2019, The Author(s).",Collective action; Control points; Digital innovation; Framing; Mobile payment; Network mobilization,,Article,Final,,Scopus,2-s2.0-85068315655
"Wäckerlin N., Hoppe T., Warnier M., de Jong W.M.",57202216046;36940401500;22735522400;57209464929;,Comparing city image and brand identity in polycentric regions using network analysis,2020,Place Branding and Public Diplomacy,16,1,,80,96,,3,10.1057/s41254-019-00128-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067894039&doi=10.1057%2fs41254-019-00128-4&partnerID=40&md5=f04bcaed2467e72db75bc7e4d0d2bf97,"Department of Multi Actor Systems, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands; Erasmus Research Initiative ‘Dynamics of Inclusive Prosperity’, Rotterdam School of Management & Erasmus School of Law, Erasmus University Rotterdam, Rotterdam, Netherlands","Wäckerlin, N., Department of Multi Actor Systems, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands; Hoppe, T., Department of Multi Actor Systems, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands; Warnier, M., Department of Multi Actor Systems, Faculty of Technology Policy and Management, Delft University of Technology, Delft, Netherlands; de Jong, W.M., Erasmus Research Initiative ‘Dynamics of Inclusive Prosperity’, Rotterdam School of Management & Erasmus School of Law, Erasmus University Rotterdam, Rotterdam, Netherlands","In a globalising world, cities find themselves competing for visitors, residents, investors, and companies. They use place branding strategies to become more visible. However, conceptual and analytical confusion exists on the subjects of place image and brand identity, and current studies are limited to single cities, neglecting inter-city relationships at the regional level. In this paper, we examine how place image and brand identity of cities in polycentric regions can be compared with each other. Inspired by Zenker and Beckmann’s network analysis approach for studying place branding (J Place Manag Dev 6(1): 6–17, 2013), a method is introduced to compare image and identity networks for polycentric regions. We use this to complement traditional steps of concept mapping (i.e. elicitation, mapping, and aggregation), and apply it to analyse the illustrative case of four cities in the MRDH region within the Netherlands. Results of the comparative analysis between the image network and the identity network provide both visual and quantitative insights revealing structural differences. The network analysis research approach can be useful to both policy-makers and researchers in analysing city image and brand identity, and to develop place branding strategies accordingly, even at the regional level. © 2019, Springer Nature Limited.",Brand identity; City branding; Network analysis; Place image; Polycentric regions,,Article,Final,,Scopus,2-s2.0-85067894039
"Janssen S., Vreugdenhil H., Hermans L., Slinger J.",57212270729;36474220100;7006932461;15037212700;,On the nature based flood defence dilemma and its Resolution: A game theory based analysis,2020,Science of the Total Environment,705,,135359,,,,2,10.1016/j.scitotenv.2019.135359,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076360119&doi=10.1016%2fj.scitotenv.2019.135359&partnerID=40&md5=fe9877b95a997bcebf07036e99de1877,"Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, BX Delft, 2618, Netherlands; Deltares, Boussinesqweg 1, HZ Delft, 2629, Netherlands; IHE Delft, Westvest 7, AX Delft, 2611, Netherlands; Rhodes University, Institute for Water Research, PO Box 94, Grahamstown, 6140, South Africa","Janssen, S., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, BX Delft, 2618, Netherlands, Deltares, Boussinesqweg 1, HZ Delft, 2629, Netherlands; Vreugdenhil, H., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, BX Delft, 2618, Netherlands, Deltares, Boussinesqweg 1, HZ Delft, 2629, Netherlands; Hermans, L., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, BX Delft, 2618, Netherlands, IHE Delft, Westvest 7, AX Delft, 2611, Netherlands; Slinger, J., Delft University of Technology, Faculty of Technology, Policy and Management, Jaffalaan 5, BX Delft, 2618, Netherlands, Rhodes University, Institute for Water Research, PO Box 94, Grahamstown, 6140, South Africa","Nature-based flood defence is an innovative design alternative for achieving protection against flooding. Despite significant advancements in science, models and concepts, routine implementation beyond pilot projects remains limited. To better understand why, we have looked into the complexities of nature-based flood defence implementation and its resolutions, modelling decision-making situations using game theory in three nature-based flood defence cases: The Markermeer Dikes, the Afsluitdijk Dam and the Sand Engine. We observe that nature-based flood defence games are of a multi-level and nested nature. While the decision of whether to employ a nature-based flood defence is seemingly made at the project level, this can only happen when it is coherent with the institutional context that is determined at the policy level. A social dilemma is apparent: while a multi-functional nature-based solution is attractive to a coalition of actors, it is not the most beneficial option for individual actors. Hence, they are faced with the dilemma of opting for their maximum benefit or opting for the greater societal benefit which is less favorable to them. This social dilemma can be tackled by making ‘smart moves’, as inspired by the Sand Engine case. The nested nature of the problem requires structural change in the institutional context to enable favourable conditions for nature-based flood defence implementations. © 2019 Elsevier B.V.","Building with Nature; Implementation; Multi-level decision making; Sand Engine, Afsluitdijk, Markermeerdam; Social dilemma",Decision making; Decision theory; Engines; Floods; Building with natures; Implementation; Innovative design; Institutional contexts; Multi-functional; Multi-level decisions; Social dilemmas; Societal benefits; Game theory; collective action; decision analysis; flood control; game theory; policy implementation; resolution; article; decision making; game; human; Markermeer; Netherlands,Article,Final,,Scopus,2-s2.0-85076360119
